通し番号	章	章内の通番	英単語	品詞	訳
255	R2	1	imagine	動	想像する
256	R2	2	scientist	名	科学者
257	R2	3	relationship	名	関係
258	R2	4	itself	代	それ自身
259	R2	5	injury	名	けが
260	R2	6	facility	名	施設、設備
261	R2	7	more and more	句	ますます多くの
262	R2	8	transfer	動	移動させる、移転させる
263	R2	9	elderly	形	年配の
264	R2	10	addition	名	付け足すこと、追加、足し算
265	R2	11	maintain	動	維持する
266	R2	12	physical	形	物理的な、身体的な
267	R2	13	function	名	機能
268	R2	14	widen	動	広げる、広がる
269	R2	15	possibility	名	可能性
270	R2	16	real	形	現実の
271	R2	17	user	名	使う人、利用者
272	R2	18	illness	名	病気
273	R2	19	control	動	制御する、操る
274	R2	20	movement	名	動き、運動
275	R2	21	finger	名	〈手の〉指
276	R2	22	sent	■	send の過去形・過去分詞
277	R2	23	microphone	名	マイク
278	R2	24	in addition	句	加えて、その上
279	R2	25	that way	句	そのようにして
280	R2	26	sociable	形	社交的な
281	R2	27	somebody	代	だれか
282	R2	28	useless	形	役に立たない
283	R2	29	helpless	形	どうしようもない、無力な
284	R2	30	notice	動	気づく
285	R2	31	happily	副	楽しそうに
286	R2	32	develop	動	開発する
287	R2	33	recognize	動	識別する、認識する
288	R2	34	value	名	価値、値打ち
289	R2	35	cooperation	名	協力
290	R2	36	expect	動	期待する
291	R2	37	imperfect	形	不完全な
292	R2	38	importance	名	重要性、大切さ
293	R2	39	okay	形	よい、大丈夫で
294	R2	40	cooperate	動	協力する
295	R2	41	article	名	記事
296	DL3	1	candy	名	砂糖菓子
297	DL3	2	recipe	名	作り方、レシピ
298	DL3	3	sugar	名	砂糖
299	DL3	4	syrup	名	シロップ
300	DL3	5	coloring	名	着色料
301	DL3	6	stem	名	〈果実などの〉軸
302	DL3	7	insert	動	挿入する
303	DL3	8	stir	動	かき混ぜる
304	DL3	9	boil	動	沸かす、煮る
305	DL3	10	thick	形	厚い、太い、濃い
306	DL3	11	add	動	加える
307	DL3	12	dip	動	ちょっと浸す
308	DL3	13	roll	動	転がす
309	DL3	14	baking sheet	名	天板
310	DL3	15	Could you tell me how to ~?	句	~のしかたを教えていただけますか。
