通し番号	章	章内の通番	英単語	品詞	訳
203	U8	1	goodbye	名	別れの挨拶
204	U8	2	ambitious	形	大志を抱いた
205	U8	3	gather	動	集める、集まる
206	U8	4	usual	形	いつもの
207	U8	5	within	前	〜以内に
208	U8	6	letter	名	文字, 手紙
209	U8	7	touch	名	接触
210	U8	8	keep in touch	句	連絡を取り続ける
211	U8	9	enter	動	入る
212	U8	10	take a step forward	句	一歩前に踏み出す
213	U8	11	until then	句	そのときまで
214	U8	12	blossom	名	<果実のなる木に咲く>花
215	U8	13	plain	形	明白な
216	U8	14	swear	動	誓う
217	U8	15	be plain to see	句	一目瞭然である
218	U8	16	go one's own way	句	自分の道を進む
219	U8	17	get together	句	集まる
220	U8	18	hospitality	名	親切なおもてなし
221	U8	19	regard	名	敬意
222	U8	20	sincerely	副	<手紙の結びで>敬具
223	U8	21	cheerful	形	陽気な、元気のよい
224	U8	22	laugh	動	<声を出して>笑う
225	U8	23	not only ~ but also …	句	〜だけでなく…も
226	YCDI3	1	fail	動	失敗する
227	YCDI3	2	advice	名	助言
228	YCDI3	3	honest	形	正直な、誠実な
229	YCDI3	4	indeed	副	本当に、確かに
230	YCDI3	5	in need	句	必要で、困って
231	YCDI3	6	go wrong	句	まちがったほうに進む
232	YCDI3	7	take it easy	句	焦らずのんびりやる
