通し番号	章	章内の通番	英単語	品詞	訳
1	U1	1	safari	名	狩猟旅行, サファリ
2	U1	2	gallery	名	画廊
3	U1	3	the Republic of South Africa	名	南アフリカ共和国
4	U1	4	southern	形	南の
5	U1	5	tip	名	先端
6	U1	6	African	形	アフリカの
7	U1	7	continent	名	大陸
8	U1	8	rainbow	名	虹
9	U1	9	nation	名	国家
10	U1	10	cultural	形	文化の
11	U1	11	spoken	■	speakの過去分詞
12	U1	12	official	形	公式の
13	U1	13	national	形	国家の、国立の
14	U1	14	diverse	形	多様な
15	U1	15	wildlife	名	野生生物
16	U1	16	through	前	〜のあちこちを
17	U1	17	real time	名	リアルタイム
18	U1	18	internet	名	〈theをつけて〉 インターネット
19	U1	19	introduce ~ to …	句	~を…に紹介する
20	U1	20	beadwork	名	ビーズ細工
21	U1	21	bracelet	名	腕輪
22	U1	22	corn	名	とうもろこし
23	U1	23	sell	動	売る、売っている
24	U1	24	sold	■	sellの過去形・過去分詞
25	U1	25	stick	名	棒
26	U1	26	make ~ from …	句	…から〜を作る
27	U1	27	elephant	名	ゾウ
28	U1	28	footprint	名	足跡
29	U1	29	bathe	動	入浴する、水浴びする
30	U1	30	mud	名	泥
31	U1	31	themselves	代	彼ら自身、彼女ら自身、それら自身
32	U1	32	near here	句	この近くに
33	U1	33	blackboard	名	黒板
34	U1	34	carry	動	運ぶ、持ち運ぶ
35	U1	35	mat	名	敷物
36	U1	36	conservation	名	保護、保存
37	U1	37	monitor	動	監視する
38	U1	38	illegal	形	違法の
39	U1	39	kill	動	殺す
40	U1	40	rhino	名	サイ
41	U1	41	horn	名	角
42	U1	42	terrible	形	ひどい
43	U1	43	safely	副	安全に
44	U1	44	savanna	名	サバンナ
45	U1	45	ecosystem	名	生態系
46	U1	46	living thing	名	生き物
47	U1	47	connect	動	つなぐ
48	U1	48	circle	名	円、輪、循環
49	U1	49	human	名	人間
50	U1	50	cut off ~	句	~を切り落とす
51	U1	51	so that ~	句	~するように
52	U1	52	decrease	動	減らす、減る
53	U1	53	increase	動	増やす、増える
54	U1	54	less	副	<little の比較級>~より少なく
